id,title,author,text,label
1,Local Community Organizes Charity Drive,Henry Yu,Researchers have identified a new amphibian species in the northern region of the rainforest.,0
26,Psychic Predicts End of World in 2025,David Lee,Reports suggest cloned dinosaurs were sighted on a remote island.,1
2,Local Community Organizes Charity Drive,Isabel Green,The study reveals global temperature has increased by 1.1째C over the past century.,0
27,Dinosaurs Cloned on Secret Island,Isabel Green,A famous psychic claims to have seen visions of catastrophic events in 2025.,1
3,Government Passes New Education Reform,Henry Yu,AI advancements in language processing and robotics were showcased at the conference.,0
28,Government Hiding UFO Evidence in Antarctica,Frank Novak,Reports suggest cloned dinosaurs were sighted on a remote island.,1
4,Scientists Reveal Climate Change Findings,Jack Black,AI advancements in language processing and robotics were showcased at the conference.,0
29,Cure for Aging Discovered in Secret Lab,Alice Johnson,Scientists have found a way to reverse aging using a formula kept secret for decades.,1
5,Scientists Reveal Climate Change Findings,Bob Stone,Researchers have identified a new amphibian species in the northern region of the rainforest.,0
30,Cure for Aging Discovered in Secret Lab,David Lee,Scientists have found a way to reverse aging using a formula kept secret for decades.,1
6,Tech Conference Highlights AI Innovations,Jack Black,AI advancements in language processing and robotics were showcased at the conference.,0
31,Dinosaurs Cloned on Secret Island,Eva Martinez,Whistleblowers claim UFO parts are being stored in a frozen government facility.,1
7,Government Passes New Education Reform,Henry Yu,The government has implemented reforms aimed at improving school infrastructure and teacher training.,0
32,Government Hiding UFO Evidence in Antarctica,Grace Kim,Whistleblowers claim UFO parts are being stored in a frozen government facility.,1
8,Local Community Organizes Charity Drive,Clara Zhang,The study reveals global temperature has increased by 1.1째C over the past century.,0
33,Dinosaurs Cloned on Secret Island,Bob Stone,Scientists have found a way to reverse aging using a formula kept secret for decades.,1
9,Local Community Organizes Charity Drive,Clara Zhang,The government has implemented reforms aimed at improving school infrastructure and teacher training.,0
34,Government Hiding UFO Evidence in Antarctica,Frank Novak,"An old photograph shows a man holding a futuristic device, sparking theories about time travel.",1
10,Government Passes New Education Reform,David Lee,AI advancements in language processing and robotics were showcased at the conference.,0
35,Psychic Predicts End of World in 2025,Bob Stone,Reports suggest cloned dinosaurs were sighted on a remote island.,1
11,Tech Conference Highlights AI Innovations,Grace Kim,AI advancements in language processing and robotics were showcased at the conference.,0
36,Cure for Aging Discovered in Secret Lab,Jack Black,Reports suggest cloned dinosaurs were sighted on a remote island.,1
12,Tech Conference Highlights AI Innovations,Frank Novak,Local residents gathered for a weekend event to support underprivileged children.,0
37,Psychic Predicts End of World in 2025,Grace Kim,Scientists have found a way to reverse aging using a formula kept secret for decades.,1
13,Tech Conference Highlights AI Innovations,Frank Novak,Researchers have identified a new amphibian species in the northern region of the rainforest.,0
38,Cure for Aging Discovered in Secret Lab,Clara Zhang,Whistleblowers claim UFO parts are being stored in a frozen government facility.,1
14,New Species Discovered in Amazon Rainforest,Bob Stone,The study reveals global temperature has increased by 1.1째C over the past century.,0
39,Dinosaurs Cloned on Secret Island,David Lee,"An old photograph shows a man holding a futuristic device, sparking theories about time travel.",1
15,Local Community Organizes Charity Drive,Frank Novak,Local residents gathered for a weekend event to support underprivileged children.,0
40,Time Traveler Spotted in 1920s Photo,Clara Zhang,A famous psychic claims to have seen visions of catastrophic events in 2025.,1
16,Tech Conference Highlights AI Innovations,Grace Kim,Researchers have identified a new amphibian species in the northern region of the rainforest.,0
41,Time Traveler Spotted in 1920s Photo,Henry Yu,Whistleblowers claim UFO parts are being stored in a frozen government facility.,1
17,Tech Conference Highlights AI Innovations,Eva Martinez,Researchers have identified a new amphibian species in the northern region of the rainforest.,0
42,Time Traveler Spotted in 1920s Photo,Isabel Green,"An old photograph shows a man holding a futuristic device, sparking theories about time travel.",1
18,Scientists Reveal Climate Change Findings,Clara Zhang,Researchers have identified a new amphibian species in the northern region of the rainforest.,0
43,Dinosaurs Cloned on Secret Island,David Lee,"An old photograph shows a man holding a futuristic device, sparking theories about time travel.",1
19,Scientists Reveal Climate Change Findings,Frank Novak,Local residents gathered for a weekend event to support underprivileged children.,0
44,Dinosaurs Cloned on Secret Island,David Lee,Whistleblowers claim UFO parts are being stored in a frozen government facility.,1
20,New Species Discovered in Amazon Rainforest,Eva Martinez,Researchers have identified a new amphibian species in the northern region of the rainforest.,0
45,Dinosaurs Cloned on Secret Island,Henry Yu,Whistleblowers claim UFO parts are being stored in a frozen government facility.,1
21,Tech Conference Highlights AI Innovations,Eva Martinez,The study reveals global temperature has increased by 1.1째C over the past century.,0
46,Government Hiding UFO Evidence in Antarctica,Frank Novak,Scientists have found a way to reverse aging using a formula kept secret for decades.,1
22,Government Passes New Education Reform,Grace Kim,AI advancements in language processing and robotics were showcased at the conference.,0
47,Dinosaurs Cloned on Secret Island,Frank Novak,Reports suggest cloned dinosaurs were sighted on a remote island.,1
23,Scientists Reveal Climate Change Findings,Frank Novak,Researchers have identified a new amphibian species in the northern region of the rainforest.,0
48,Dinosaurs Cloned on Secret Island,Alice Johnson,A famous psychic claims to have seen visions of catastrophic events in 2025.,1
24,Tech Conference Highlights AI Innovations,Henry Yu,Researchers have identified a new amphibian species in the northern region of the rainforest.,0
49,Cure for Aging Discovered in Secret Lab,Alice Johnson,Reports suggest cloned dinosaurs were sighted on a remote island.,1
25,New Species Discovered in Amazon Rainforest,Bob Stone,Local residents gathered for a weekend event to support underprivileged children.,0
50,Dinosaurs Cloned on Secret Island,Isabel Green,Reports suggest cloned dinosaurs were sighted on a remote island.,1
